Scoala,Sex,Varsta,Mediu,Ore_Studiu,Materii_Picate,Meditatii_Scoala,Ajutor_Familie,Meditatii_Private,Internet,Relatie,Timp_Liber,Iesiri,Alcool_Saptamana,Alcool_Weekend,Absente,Nota_T1,Nota_T2,Nota_Finala
GP,F,18,U,2,0,yes,no,no,no,no,3,4,1,1,6,5,6.0,6.0
GP,F,17,U,2,0,no,yes,no,yes,no,3,3,1,1,4,5,5.0,6.0
GP,F,15,U,2,3,yes,no,yes,yes,no,3,2,2,3,10,7,8.0,10.0
GP,F,15,U,3,0,no,yes,yes,yes,yes,2,2,1,1,2,15,14.0,15.0
GP,F,16,U,2,0,no,yes,yes,no,no,3,2,1,2,4,6,10.0,10.0
GP,M,16,U,2,0,no,yes,yes,yes,no,4,2,1,2,10,15,15.0,15.0
GP,M,16,U,2,0,no,no,no,yes,no,4,4,1,1,0,12,12.0,11.0
GP,F,17,U,2,0,yes,yes,no,no,no,1,4,1,1,6,6,5.0,6.0
GP,M,15,U,2,0,no,yes,yes,yes,no,2,2,1,1,0,16,18.0,19.0
GP,M,15,U,2,0,no,yes,yes,yes,no,5,1,1,1,0,14,15.0,15.0
GP,F,15,U,2,0,no,yes,yes,yes,no,3,3,1,2,0,10,8.0,9.0
GP,F,15,U,3,0,no,yes,no,yes,no,2,2,1,1,4,10,12.0,12.0
GP,M,15,U,1,0,no,yes,yes,yes,no,3,3,1,3,2,14,14.0,14.0
GP,M,15,U,2,0,no,yes,yes,yes,no,4,3,1,2,2,10,10.0,11.0
GP,M,15,U,3,0,no,yes,no,yes,yes,5,2,1,1,0,14,16.0,16.0
GP,F,16,U,1,0,no,yes,no,yes,no,4,4,1,2,4,14,14.0,14.0
GP,F,16,U,3,0,no,yes,yes,yes,no,2,3,1,2,6,13,14.0,14.0
GP,F,16,U,2,0,yes,yes,no,no,no,3,2,1,1,4,8,10.0,10.0
GP,M,17,U,1,3,no,yes,no,yes,no,5,5,2,4,16,6,5.0,5.0
GP,M,16,U,1,0,no,no,yes,yes,no,1,3,1,3,4,8,10.0,10.0
GP,M,15,U,2,0,no,no,no,yes,no,4,1,1,1,0,13,14.0,15.0
GP,M,15,U,1,0,no,yes,yes,yes,no,4,2,1,1,0,12,15.0,15.0
GP,M,16,U,2,0,no,no,no,yes,no,5,1,1,3,2,15,15.0,16.0
GP,M,16,U,2,0,no,yes,no,yes,no,4,4,2,4,0,13,13.0,12.0
GP,F,15,R,3,0,yes,yes,yes,yes,no,3,2,1,1,2,10,9.0,8.0
GP,F,16,U,1,2,no,yes,yes,yes,no,2,2,1,3,14,6,9.0,8.0
GP,M,15,U,1,0,no,yes,yes,yes,no,2,2,1,2,2,12,12.0,11.0
GP,M,15,U,1,0,no,no,yes,yes,no,2,4,2,4,4,15,16.0,15.0
GP,M,16,U,2,0,yes,yes,no,yes,no,3,3,1,1,4,11,11.0,11.0
GP,M,16,U,2,0,no,yes,yes,yes,yes,4,5,5,5,16,10,12.0,11.0
GP,M,15,U,2,0,no,yes,yes,yes,no,4,2,3,4,0,9,11.0,12.0
GP,M,15,U,2,0,no,yes,no,yes,no,3,1,1,1,0,17,16.0,17.0
GP,M,15,R,2,0,no,yes,no,yes,yes,5,2,1,1,0,17,16.0,16.0
GP,M,15,U,2,0,no,no,no,yes,no,3,2,1,1,0,8,10.0,12.0
GP,M,16,U,1,0,no,yes,yes,yes,no,4,3,1,1,0,12,14.0,15.0
